bin,asic,channel,count
0,0,0,0
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,54
15,0,15,54
16,0,16,54
17,0,17,54
18,0,18,54
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,1,0,0
33,1,1,0
34,1,2,0
35,1,3,0
36,1,4,0
37,1,5,0
38,1,6,0
39,1,7,0
40,1,8,0
41,1,9,0
42,1,10,0
43,1,11,0
44,1,12,0
45,1,13,0
46,1,14,0
47,1,15,0
48,1,16,0
49,1,17,0
50,1,18,0
51,1,19,0
52,1,20,0
53,1,21,0
54,1,22,0
55,1,23,0
56,1,24,0
57,1,25,0
58,1,26,0
59,1,27,0
60,1,28,0
61,1,29,0
62,1,30,0
63,1,31,0
64,2,0,0
65,2,1,0
66,2,2,0
67,2,3,0
68,2,4,0
69,2,5,0
70,2,6,0
71,2,7,0
72,2,8,0
73,2,9,0
74,2,10,0
75,2,11,0
76,2,12,0
77,2,13,0
78,2,14,0
79,2,15,0
80,2,16,0
81,2,17,0
82,2,18,0
83,2,19,0
84,2,20,0
85,2,21,0
86,2,22,0
87,2,23,0
88,2,24,0
89,2,25,0
90,2,26,0
91,2,27,0
92,2,28,0
93,2,29,0
94,2,30,0
95,2,31,0
96,3,0,0
97,3,1,0
98,3,2,0
99,3,3,0
100,3,4,0
101,3,5,0
102,3,6,0
103,3,7,0
104,3,8,0
105,3,9,0
106,3,10,0
107,3,11,0
108,3,12,0
109,3,13,0
110,3,14,0
111,3,15,0
112,3,16,0
113,3,17,0
114,3,18,0
115,3,19,0
116,3,20,0
117,3,21,0
118,3,22,0
119,3,23,0
120,3,24,0
121,3,25,0
122,3,26,0
123,3,27,0
124,3,28,0
125,3,29,0
126,3,30,0
127,3,31,0
128,4,0,0
129,4,1,0
130,4,2,0
131,4,3,0
132,4,4,0
133,4,5,0
134,4,6,0
135,4,7,0
136,4,8,0
137,4,9,0
138,4,10,0
139,4,11,0
140,4,12,0
141,4,13,0
142,4,14,0
143,4,15,0
144,4,16,0
145,4,17,0
146,4,18,0
147,4,19,0
148,4,20,0
149,4,21,0
150,4,22,0
151,4,23,0
152,4,24,0
153,4,25,0
154,4,26,0
155,4,27,0
156,4,28,0
157,4,29,0
158,4,30,0
159,4,31,0
160,5,0,0
161,5,1,0
162,5,2,0
163,5,3,0
164,5,4,0
165,5,5,0
166,5,6,0
167,5,7,0
168,5,8,0
169,5,9,0
170,5,10,0
171,5,11,0
172,5,12,0
173,5,13,0
174,5,14,0
175,5,15,0
176,5,16,0
177,5,17,0
178,5,18,0
179,5,19,0
180,5,20,0
181,5,21,0
182,5,22,0
183,5,23,0
184,5,24,0
185,5,25,0
186,5,26,0
187,5,27,0
188,5,28,0
189,5,29,0
190,5,30,0
191,5,31,0
192,6,0,0
193,6,1,0
194,6,2,0
195,6,3,0
196,6,4,0
197,6,5,0
198,6,6,0
199,6,7,0
200,6,8,0
201,6,9,0
202,6,10,0
203,6,11,0
204,6,12,0
205,6,13,0
206,6,14,0
207,6,15,0
208,6,16,0
209,6,17,0
210,6,18,0
211,6,19,0
212,6,20,0
213,6,21,0
214,6,22,0
215,6,23,0
216,6,24,0
217,6,25,0
218,6,26,0
219,6,27,0
220,6,28,0
221,6,29,0
222,6,30,0
223,6,31,0
224,7,0,0
225,7,1,0
226,7,2,0
227,7,3,0
228,7,4,0
229,7,5,0
230,7,6,0
231,7,7,0
232,7,8,0
233,7,9,0
234,7,10,0
235,7,11,0
236,7,12,0
237,7,13,0
238,7,14,0
239,7,15,0
240,7,16,0
241,7,17,0
242,7,18,0
243,7,19,0
244,7,20,0
245,7,21,0
246,7,22,0
247,7,23,0
248,7,24,0
249,7,25,0
250,7,26,0
251,7,27,0
252,7,28,0
253,7,29,0
254,7,30,0
255,7,31,0
