bin,latency_left_cycles,latency_center_cycles,latency_right_cycles,count
0,0,4,8,5
1,8,12,16,6
2,16,20,24,5
3,24,28,32,3
4,32,36,40,0
5,40,44,48,0
6,48,52,56,0
7,56,60,64,0
8,64,68,72,0
9,72,76,80,0
10,80,84,88,1
11,88,92,96,6
12,96,100,104,5
13,104,108,112,6
14,112,116,120,8
15,120,124,128,9
16,128,132,136,0
17,136,140,144,0
18,144,148,152,0
19,152,156,160,0
20,160,164,168,0
21,168,172,176,2
22,176,180,184,5
23,184,188,192,6
24,192,196,200,5
25,200,204,208,6
26,208,212,216,1
27,216,220,224,0
28,224,228,232,0
29,232,236,240,0
30,240,244,248,0
31,248,252,256,0
32,256,260,264,0
33,264,268,272,3
34,272,276,280,5
35,280,284,288,6
36,288,292,296,5
37,296,300,304,12
38,304,308,312,4
39,312,316,320,0
40,320,324,328,0
41,328,332,336,0
42,336,340,344,0
43,344,348,352,0
44,352,356,360,5
45,360,364,368,13
46,368,372,376,24
47,376,380,384,8
48,384,388,392,5
49,392,396,400,0
50,400,404,408,0
51,408,412,416,0
52,416,420,424,0
53,424,428,432,0
54,432,436,440,0
55,440,444,448,1
56,448,452,456,6
57,456,460,464,5
58,464,468,472,9
59,472,476,480,10
60,480,484,488,9
61,488,492,496,0
62,496,500,504,0
63,504,508,512,0
64,512,516,520,0
65,520,524,528,0
66,528,532,536,0
67,536,540,544,5
68,544,548,552,5
69,552,556,560,5
70,560,564,568,5
71,568,572,576,5
72,576,580,584,0
73,584,588,592,0
74,592,596,600,0
75,600,604,608,0
76,608,612,616,0
77,616,620,624,0
78,624,628,632,3
79,632,636,640,5
80,640,644,648,6
81,648,652,656,5
82,656,660,664,12
83,664,668,672,4
84,672,676,680,0
85,680,684,688,0
86,688,692,696,0
87,696,700,704,0
88,704,708,712,0
89,712,716,720,0
90,720,724,728,5
91,728,732,736,5
92,736,740,744,5
93,744,748,752,5
94,752,756,760,5
95,760,764,768,0
96,768,772,776,9
97,776,780,784,16
98,784,788,792,0
99,792,796,800,0
100,800,804,808,0
101,808,812,816,4
102,816,820,824,6
103,824,828,832,5
104,832,836,840,5
105,840,844,848,14
106,848,852,856,1
107,856,860,864,0
108,864,868,872,0
109,872,876,880,0
110,880,884,888,0
111,888,892,896,0
112,896,900,904,5
113,904,908,912,5
114,912,916,920,5
115,920,924,928,5
116,928,932,936,5
117,936,940,944,0
118,944,948,952,0
119,952,956,960,0
120,960,964,968,0
121,968,972,976,0
122,976,980,984,0
123,984,988,992,0
124,992,996,1000,5
125,1000,1004,1008,5
126,1008,1012,1016,5
127,1016,1020,1024,5
128,1024,1028,1032,10
129,1032,1036,1040,0
130,1040,1044,1048,0
131,1048,1052,1056,0
132,1056,1060,1064,0
133,1064,1068,1072,0
134,1072,1076,1080,0
135,1080,1084,1088,5
136,1088,1092,1096,5
137,1096,1100,1104,5
138,1104,1108,1112,5
139,1112,1116,1120,5
140,1120,1124,1128,0
141,1128,1132,1136,0
142,1136,1140,1144,0
143,1144,1148,1152,0
144,1152,1156,1160,0
145,1160,1164,1168,0
146,1168,1172,1176,0
147,1176,1180,1184,5
148,1184,1188,1192,10
149,1192,1196,1200,34
150,1200,1204,1208,10
151,1208,1212,1216,1
152,1216,1220,1224,0
153,1224,1228,1232,0
154,1232,1236,1240,0
155,1240,1244,1248,0
156,1248,1252,1256,0
157,1256,1260,1264,0
158,1264,1268,1272,5
159,1272,1276,1280,6
160,1280,1284,1288,5
161,1288,1292,1296,6
162,1296,1300,1304,3
163,1304,1308,1312,0
164,1312,1316,1320,0
165,1320,1324,1328,0
166,1328,1332,1336,0
167,1336,1340,1344,0
168,1344,1348,1352,0
169,1352,1356,1360,5
170,1360,1364,1368,5
171,1368,1372,1376,5
172,1376,1380,1384,5
173,1384,1388,1392,10
174,1392,1396,1400,0
175,1400,1404,1408,0
176,1408,1412,1416,0
177,1416,1420,1424,0
178,1424,1428,1432,0
179,1432,1436,1440,0
180,1440,1444,1448,1
181,1448,1452,1456,6
182,1456,1460,1464,5
183,1464,1468,1472,6
184,1472,1476,1480,5
185,1480,1484,1488,2
186,1488,1492,1496,0
187,1496,1500,1504,0
188,1504,1508,1512,0
189,1512,1516,1520,0
190,1520,1524,1528,0
191,1528,1532,1536,0
192,1536,1540,1544,5
193,1544,1548,1552,5
194,1552,1556,1560,6
195,1560,1564,1568,5
196,1568,1572,1576,9
197,1576,1580,1584,0
198,1584,1588,1592,0
199,1592,1596,1600,1
200,1600,1604,1608,18
201,1608,1612,1616,6
202,1616,1620,1624,0
203,1624,1628,1632,5
204,1632,1636,1640,6
205,1640,1644,1648,5
206,1648,1652,1656,6
207,1656,1660,1664,3
208,1664,1668,1672,0
209,1672,1676,1680,0
210,1680,1684,1688,0
211,1688,1692,1696,0
212,1696,1700,1704,0
213,1704,1708,1712,0
214,1712,1716,1720,1
215,1720,1724,1728,5
216,1728,1732,1736,6
217,1736,1740,1744,5
218,1744,1748,1752,6
219,1752,1756,1760,7
220,1760,1764,1768,0
221,1768,1772,1776,0
222,1776,1780,1784,0
223,1784,1788,1792,0
224,1792,1796,1800,0
225,1800,1804,1808,1
226,1808,1812,1816,6
227,1816,1820,1824,5
228,1824,1828,1832,6
229,1832,1836,1840,5
230,1840,1844,1848,2
231,1848,1852,1856,0
232,1856,1860,1864,0
233,1864,1868,1872,0
234,1872,1876,1880,0
235,1880,1884,1888,0
236,1888,1892,1896,0
237,1896,1900,1904,2
238,1904,1908,1912,6
239,1912,1916,1920,5
240,1920,1924,1928,6
241,1928,1932,1936,7
242,1936,1940,1944,4
243,1944,1948,1952,0
244,1952,1956,1960,0
245,1960,1964,1968,0
246,1968,1972,1976,0
247,1976,1980,1984,0
248,1984,1988,1992,3
249,1992,1996,2000,5
250,2000,2004,2008,6
251,2008,2012,2016,5
252,2016,2020,2024,22
253,2024,2028,2032,9
254,2032,2036,2040,0
255,2040,2044,2048,0
