pulse_high	total_hz	mean_hz_per_channel	nonzero_channels	min_hz_per_channel	max_hz_per_channel	span_hz_per_channel	cv_all_channels	plot
1	0	0.000000	0	0.000	0.000	0.000	0.000000	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph01_dislin.png
2	0	0.000000	0	0.000	0.000	0.000	0.000000	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph02_dislin.png
3	193461	755.707013	4	0.000	99657.997	99657.997	10.993597	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph03_dislin.png
4	21404120	83609.844907	223	0.000	99841.003	99841.003	0.432913	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph04_dislin.png
5	25536088	99750.342607	256	76830.002	99841.003	23011.002	0.014389	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph05_dislin.png
6	25549931	99804.416835	256	90525.002	99841.003	9316.002	0.005822	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph06_dislin.png
7	25550213	99805.519819	256	91084.999	99839.996	8754.997	0.005472	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph07_dislin.png
8	25729880	100507.344067	256	94931.999	196164.993	101232.994	0.076314	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph08_dislin.png
9	28284536	110486.469388	256	99839.996	193479.996	93639.999	0.195234	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph09_dislin.png
10	28967327	113153.622538	256	91236.000	199589.996	108353.996	0.222776	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph10_dislin.png
11	30603255	119543.965816	256	99838.997	199681.000	99842.003	0.294586	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph11_dislin.png
12	31393140	122629.452854	256	98850.998	199679.993	100828.995	0.339181	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph12_dislin.png
13	31948742	124799.772859	256	99836.998	199679.993	99842.995	0.346408	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph13_dislin.png
14	31948368	124798.312604	256	99836.998	199677.994	99840.996	0.346405	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph14_dislin.png
15	31948587	124799.167395	256	99834.000	199679.993	99845.993	0.346401	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_highcycle_rate_sweep_20260501/phase6_rate_per_channel_1s_ph15_dislin.png
