kind	case	total_hz	mean_hz_per_channel	nonzero_channels	min_hz_per_channel	max_hz_per_channel	span_hz_per_channel	cv_all_channels	plot
asic_lvds	01	6389824	24960.250854	64	0.000	99841.003	99841.003	1.732051	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case01_ph05_bar.png
asic_lvds	02	19154607	74822.684795	192	0.000	99839.996	99839.996	0.577478	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case02_ph05_bar.png
asic_lvds	03	6389696	24959.749222	64	0.000	99838.997	99838.997	1.732051	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case03_ph05_bar.png
asic_lvds	04	15961861	62351.017714	160	0.000	99841.003	99841.003	0.774700	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case04_ph05_bar.png
asic_lvds	05	3194848	12479.874611	32	0.000	99838.997	99838.997	2.645751	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case05_ph05_bar.png
asic_lvds	06	15974340	62399.767369	160	0.000	99839.996	99839.996	0.774597	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case06_ph05_bar.png
asic_lvds	07	25530704	99729.311943	256	71283.997	99841.003	28557.007	0.017862	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case07_ph05_bar.png
asic_lvds	08	3194880	12479.999542	32	0.000	99839.996	99839.996	2.645751	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_asic_lvds_case08_ph05_bar.png
channel_mask	01	17571663	68639.310360	176	0.000	99838.997	99838.997	0.674200	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case01_ph05_bar.png
channel_mask	02	11980800	46799.998283	120	0.000	99839.996	99839.996	1.064581	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case02_ph05_bar.png
channel_mask	03	15175823	59280.560374	152	0.000	99841.003	99841.003	0.827170	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case03_ph05_bar.png
channel_mask	04	8785920	34319.998741	88	0.000	99839.996	99839.996	1.381699	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case04_ph05_bar.png
channel_mask	05	15974399	62399.997711	160	0.000	99839.996	99839.996	0.774597	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case05_ph05_bar.png
channel_mask	06	10383360	40559.998512	104	0.000	99839.996	99839.996	1.208941	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case06_ph05_bar.png
channel_mask	07	11980920	46800.470352	120	0.000	99841.003	99841.003	1.064581	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case07_ph05_bar.png
channel_mask	08	15974399	62399.997711	160	0.000	99839.996	99839.996	0.774597	/home/yifeng/packages/mu3e_ip_dev/.worktrees/mu3e_ip_cores_phase6_closure_20260430/firmware_builds/systems/system_20260427_testplanphase5/reports/assets/phase6_mask_response_seed20260501/phase6_mask_response_channel_mask_case08_ph05_bar.png
