bin_index,bin_center,count
0,0.500,122070
1,1.500,3091
2,2.500,122070
3,3.500,122070
4,4.500,3092
5,5.500,122070
6,6.500,6244
7,7.500,61035
8,8.500,122070
9,9.500,3122
10,10.500,6301
11,11.500,122070
12,12.500,61035
13,13.500,6303
14,14.500,122070
15,15.500,61035
16,16.500,122070
17,17.500,6366
18,18.500,61035
19,19.500,122070
20,20.500,122070
21,21.500,3207
22,22.500,122070
23,23.500,122071
24,24.500,3208
25,25.500,6462
26,26.500,122070
27,27.500,61035
28,28.500,122070
29,29.500,122070
30,30.500,61036
31,31.500,6509
32,32.500,122070
33,33.500,61035
34,34.500,6510
35,35.500,122070
36,36.500,61035
37,37.500,122070
38,38.500,122070
39,39.500,61035
40,40.500,122070
41,41.500,3301
42,42.500,122070
43,43.500,122070
44,44.500,3302
45,45.500,6644
46,46.500,122070
47,47.500,61035
48,48.500,6645
49,49.500,122070
50,50.500,61035
51,51.500,122070
52,52.500,6688
53,53.500,61035
54,54.500,122070
55,55.500,122071
56,56.500,61035
57,57.500,6730
58,58.500,122070
59,59.500,61035
60,60.500,6786
61,61.500,122070
62,62.500,61036
63,63.500,6788
64,64.500,122070
65,65.500,61035
66,66.500,122070
67,67.500,6831
68,68.500,61035
69,69.500,122070
70,70.500,122070
71,71.500,3437
72,72.500,122070
73,73.500,61035
74,74.500,6875
75,75.500,122070
76,76.500,61035
77,77.500,6925
78,78.500,122070
79,79.500,61035
80,80.500,122070
81,81.500,122070
82,82.500,61035
83,83.500,122070
84,84.500,122070
85,85.500,61035
86,86.500,7028
87,87.500,122071
88,88.500,61035
89,89.500,7030
90,90.500,122070
91,91.500,61035
92,92.500,122070
93,93.500,122070
94,94.500,61036
95,95.500,122070
96,96.500,122070
97,97.500,61035
98,98.500,122070
99,99.500,122070
100,100.500,61035
101,101.500,122070
102,102.500,122070
103,103.500,61035
104,104.500,122070
105,105.500,61035
106,106.500,122070
107,107.500,122070
108,108.500,61035
109,109.500,122070
110,110.500,122070
111,111.500,61035
112,112.500,122070
113,113.500,122070
114,114.500,61035
115,115.500,122070
116,116.500,122070
117,117.500,61035
118,118.500,122070
119,119.500,7306
120,120.500,61035
121,121.500,122070
122,122.500,7349
123,123.500,61035
124,124.500,122070
125,125.500,122070
126,126.500,61036
127,127.500,122070
128,128.500,122070
129,129.500,61035
130,130.500,122070
131,131.500,7427
132,132.500,61035
133,133.500,122070
134,134.500,7429
135,135.500,61035
136,136.500,122070
137,137.500,3735
138,138.500,122070
139,139.500,122070
140,140.500,61035
141,141.500,122070
142,142.500,122070
143,143.500,61035
144,144.500,122070
145,145.500,122070
146,146.500,61035
147,147.500,122070
148,148.500,122070
149,149.500,61035
150,150.500,7564
151,151.500,122071
152,152.500,61035
153,153.500,7566
154,154.500,122070
155,155.500,61035
156,156.500,7591
157,157.500,122070
158,158.500,61036
159,159.500,7593
160,160.500,122070
161,161.500,61035
162,162.500,122070
163,163.500,122070
164,164.500,61035
165,165.500,7649
166,166.500,122070
167,167.500,61035
168,168.500,7650
169,169.500,61035
170,170.500,122070
171,171.500,122070
172,172.500,61035
173,173.500,122070
174,174.500,122070
175,175.500,61035
176,176.500,122070
177,177.500,122070
178,178.500,61035
179,179.500,122070
180,180.500,122070
181,181.500,3862
182,182.500,122070
183,183.500,122071
184,184.500,61035
185,185.500,122070
186,186.500,122070
187,187.500,61035
188,188.500,122070
189,189.500,122070
190,190.500,3887
191,191.500,122070
192,192.500,122070
193,193.500,3888
194,194.500,122070
195,195.500,7800
196,196.500,61035
197,197.500,122070
198,198.500,7802
199,199.500,61035
200,200.500,122070
201,201.500,61035
202,202.500,7825
203,203.500,122070
204,204.500,61035
205,205.500,122070
206,206.500,122070
207,207.500,61035
208,208.500,122070
209,209.500,122070
210,210.500,61035
211,211.500,122070
212,212.500,7877
213,213.500,61035
214,214.500,122070
215,215.500,7901
216,216.500,61035
217,217.500,122070
218,218.500,7903
219,219.500,61035
220,220.500,122070
221,221.500,122070
222,222.500,3963
223,223.500,122070
224,224.500,122070
225,225.500,61035
226,226.500,122070
227,227.500,122070
228,228.500,61035
229,229.500,122070
230,230.500,7980
231,231.500,61035
232,232.500,122070
233,233.500,3990
234,234.500,122070
235,235.500,8009
236,236.500,61035
237,237.500,122070
238,238.500,8010
239,239.500,61035
240,240.500,8034
241,241.500,122070
242,242.500,61035
243,243.500,8036
244,244.500,122070
245,245.500,61035
246,246.500,122070
247,247.500,122071
248,248.500,61035
249,249.500,122070
250,250.500,122070
251,251.500,61035
252,252.500,122070
253,253.500,122070
254,254.500,61036
255,255.500,122070
