bin_index,bin_center,count
0,-992.000,0
1,-976.000,0
2,-960.000,0
3,-944.000,0
4,-928.000,0
5,-912.000,0
6,-896.000,0
7,-880.000,0
8,-864.000,0
9,-848.000,0
10,-832.000,0
11,-816.000,0
12,-800.000,0
13,-784.000,0
14,-768.000,0
15,-752.000,0
16,-736.000,0
17,-720.000,0
18,-704.000,0
19,-688.000,0
20,-672.000,0
21,-656.000,0
22,-640.000,0
23,-624.000,0
24,-608.000,0
25,-592.000,0
26,-576.000,0
27,-560.000,0
28,-544.000,0
29,-528.000,0
30,-512.000,0
31,-496.000,0
32,-480.000,0
33,-464.000,0
34,-448.000,0
35,-432.000,0
36,-416.000,0
37,-400.000,0
38,-384.000,0
39,-368.000,0
40,-352.000,0
41,-336.000,0
42,-320.000,0
43,-304.000,0
44,-288.000,0
45,-272.000,0
46,-256.000,0
47,-240.000,0
48,-224.000,0
49,-208.000,0
50,-192.000,0
51,-176.000,0
52,-160.000,0
53,-144.000,0
54,-128.000,137504
55,-112.000,275380
56,-96.000,275455
57,-80.000,275393
58,-64.000,275193
59,-48.000,274907
60,-32.000,274738
61,-16.000,274721
62,0.000,274664
63,16.000,273857
64,32.000,274082
65,48.000,274065
66,64.000,274173
67,80.000,274458
68,96.000,274843
69,112.000,274791
70,128.000,137378
71,144.000,0
72,160.000,0
73,176.000,0
74,192.000,0
75,208.000,0
76,224.000,0
77,240.000,0
78,256.000,0
79,272.000,0
80,288.000,0
81,304.000,0
82,320.000,0
83,336.000,0
84,352.000,0
85,368.000,0
86,384.000,0
87,400.000,0
88,416.000,0
89,432.000,0
90,448.000,0
91,464.000,0
92,480.000,0
93,496.000,0
94,512.000,0
95,528.000,0
96,544.000,0
97,560.000,0
98,576.000,0
99,592.000,0
100,608.000,0
101,624.000,0
102,640.000,0
103,656.000,0
104,672.000,0
105,688.000,0
106,704.000,0
107,720.000,0
108,736.000,0
109,752.000,0
110,768.000,0
111,784.000,0
112,800.000,0
113,816.000,0
114,832.000,0
115,848.000,0
116,864.000,0
117,880.000,0
118,896.000,0
119,912.000,0
120,928.000,0
121,944.000,0
122,960.000,0
123,976.000,0
124,992.000,0
125,1008.000,0
126,1024.000,0
127,1040.000,0
128,1056.000,0
129,1072.000,0
130,1088.000,0
131,1104.000,0
132,1120.000,0
133,1136.000,0
134,1152.000,0
135,1168.000,0
136,1184.000,0
137,1200.000,0
138,1216.000,0
139,1232.000,0
140,1248.000,0
141,1264.000,0
142,1280.000,0
143,1296.000,0
144,1312.000,0
145,1328.000,0
146,1344.000,0
147,1360.000,0
148,1376.000,0
149,1392.000,0
150,1408.000,0
151,1424.000,0
152,1440.000,0
153,1456.000,0
154,1472.000,0
155,1488.000,0
156,1504.000,0
157,1520.000,0
158,1536.000,0
159,1552.000,0
160,1568.000,0
161,1584.000,0
162,1600.000,0
163,1616.000,0
164,1632.000,0
165,1648.000,0
166,1664.000,0
167,1680.000,0
168,1696.000,0
169,1712.000,0
170,1728.000,0
171,1744.000,0
172,1760.000,0
173,1776.000,0
174,1792.000,0
175,1808.000,0
176,1824.000,0
177,1840.000,0
178,1856.000,0
179,1872.000,0
180,1888.000,0
181,1904.000,0
182,1920.000,0
183,1936.000,0
184,1952.000,0
185,1968.000,0
186,1984.000,0
187,2000.000,0
188,2016.000,0
189,2032.000,0
190,2048.000,0
191,2064.000,0
192,2080.000,0
193,2096.000,0
194,2112.000,0
195,2128.000,0
196,2144.000,0
197,2160.000,0
198,2176.000,0
199,2192.000,0
200,2208.000,0
201,2224.000,0
202,2240.000,0
203,2256.000,0
204,2272.000,0
205,2288.000,0
206,2304.000,0
207,2320.000,0
208,2336.000,0
209,2352.000,0
210,2368.000,0
211,2384.000,0
212,2400.000,0
213,2416.000,0
214,2432.000,0
215,2448.000,0
216,2464.000,0
217,2480.000,0
218,2496.000,0
219,2512.000,0
220,2528.000,0
221,2544.000,0
222,2560.000,0
223,2576.000,0
224,2592.000,0
225,2608.000,0
226,2624.000,0
227,2640.000,0
228,2656.000,0
229,2672.000,0
230,2688.000,0
231,2704.000,0
232,2720.000,0
233,2736.000,0
234,2752.000,0
235,2768.000,0
236,2784.000,0
237,2800.000,0
238,2816.000,0
239,2832.000,0
240,2848.000,0
241,2864.000,0
242,2880.000,0
243,2896.000,0
244,2912.000,0
245,2928.000,0
246,2944.000,0
247,2960.000,0
248,2976.000,0
249,2992.000,0
250,3008.000,0
251,3024.000,0
252,3040.000,0
253,3056.000,0
254,3072.000,0
255,3088.000,0
