bin_index,bin_center,count
0,8.000,0
1,24.000,0
2,40.000,0
3,56.000,0
4,72.000,0
5,88.000,0
6,104.000,5961
7,120.000,0
8,136.000,0
9,152.000,0
10,168.000,0
11,184.000,0
12,200.000,0
13,216.000,0
14,232.000,0
15,248.000,0
16,264.000,0
17,280.000,0
18,296.000,0
19,312.000,0
20,328.000,0
21,344.000,0
22,360.000,0
23,376.000,0
24,392.000,0
25,408.000,0
26,424.000,0
27,440.000,0
28,456.000,0
29,472.000,0
30,488.000,0
31,504.000,0
32,520.000,0
33,536.000,0
34,552.000,0
35,568.000,0
36,584.000,0
37,600.000,0
38,616.000,0
39,632.000,0
40,648.000,0
41,664.000,0
42,680.000,0
43,696.000,0
44,712.000,0
45,728.000,0
46,744.000,0
47,760.000,0
48,776.000,0
49,792.000,0
50,808.000,0
51,824.000,0
52,840.000,0
53,856.000,0
54,872.000,36721
55,888.000,0
56,904.000,0
57,920.000,0
58,936.000,0
59,952.000,0
60,968.000,0
61,984.000,0
62,1000.000,0
63,1016.000,0
64,1032.000,0
65,1048.000,0
66,1064.000,0
67,1080.000,0
68,1096.000,0
69,1112.000,0
70,1128.000,0
71,1144.000,0
72,1160.000,0
73,1176.000,0
74,1192.000,0
75,1208.000,0
76,1224.000,0
77,1240.000,0
78,1256.000,0
79,1272.000,711
80,1288.000,3969
81,1304.000,0
82,1320.000,0
83,1336.000,0
84,1352.000,0
85,1368.000,0
86,1384.000,0
87,1400.000,0
88,1416.000,0
89,1432.000,0
90,1448.000,0
91,1464.000,0
92,1480.000,0
93,1496.000,0
94,1512.000,0
95,1528.000,0
96,1544.000,0
97,1560.000,0
98,1576.000,0
99,1592.000,0
100,1608.000,0
101,1624.000,0
102,1640.000,0
103,1656.000,0
104,1672.000,0
105,1688.000,0
106,1704.000,0
107,1720.000,0
108,1736.000,28030
109,1752.000,6367
110,1768.000,0
111,1784.000,0
112,1800.000,0
113,1816.000,0
114,1832.000,0
115,1848.000,0
116,1864.000,0
117,1880.000,0
118,1896.000,0
119,1912.000,0
120,1928.000,0
121,1944.000,0
122,1960.000,0
123,1976.000,0
124,1992.000,0
125,2008.000,0
126,2024.000,0
127,2040.000,0
128,2056.000,0
129,2072.000,0
130,2088.000,0
131,2104.000,0
132,2120.000,0
133,2136.000,0
134,2152.000,0
135,2168.000,0
136,2184.000,0
137,2200.000,0
138,2216.000,0
139,2232.000,0
140,2248.000,0
141,2264.000,0
142,2280.000,0
143,2296.000,0
144,2312.000,0
145,2328.000,0
146,2344.000,0
147,2360.000,0
148,2376.000,0
149,2392.000,0
150,2408.000,0
151,2424.000,0
152,2440.000,0
153,2456.000,0
154,2472.000,0
155,2488.000,0
156,2504.000,0
157,2520.000,0
158,2536.000,0
159,2552.000,0
160,2568.000,0
161,2584.000,0
162,2600.000,0
163,2616.000,0
164,2632.000,0
165,2648.000,0
166,2664.000,0
167,2680.000,0
168,2696.000,0
169,2712.000,0
170,2728.000,0
171,2744.000,0
172,2760.000,0
173,2776.000,0
174,2792.000,0
175,2808.000,0
176,2824.000,0
177,2840.000,0
178,2856.000,0
179,2872.000,0
180,2888.000,0
181,2904.000,0
182,2920.000,0
183,2936.000,0
184,2952.000,0
185,2968.000,0
186,2984.000,0
187,3000.000,0
188,3016.000,0
189,3032.000,0
190,3048.000,0
191,3064.000,0
192,3080.000,0
193,3096.000,0
194,3112.000,0
195,3128.000,0
196,3144.000,0
197,3160.000,0
198,3176.000,0
199,3192.000,0
200,3208.000,0
201,3224.000,0
202,3240.000,0
203,3256.000,0
204,3272.000,0
205,3288.000,0
206,3304.000,0
207,3320.000,0
208,3336.000,0
209,3352.000,0
210,3368.000,0
211,3384.000,0
212,3400.000,0
213,3416.000,0
214,3432.000,0
215,3448.000,0
216,3464.000,0
217,3480.000,0
218,3496.000,0
219,3512.000,0
220,3528.000,0
221,3544.000,0
222,3560.000,0
223,3576.000,0
224,3592.000,0
225,3608.000,0
226,3624.000,0
227,3640.000,0
228,3656.000,0
229,3672.000,0
230,3688.000,0
231,3704.000,0
232,3720.000,0
233,3736.000,0
234,3752.000,0
235,3768.000,0
236,3784.000,0
237,3800.000,0
238,3816.000,0
239,3832.000,0
240,3848.000,0
241,3864.000,0
242,3880.000,0
243,3896.000,0
244,3912.000,0
245,3928.000,0
246,3944.000,0
247,3960.000,0
248,3976.000,0
249,3992.000,0
250,4008.000,0
251,4024.000,0
252,4040.000,0
253,4056.000,0
254,4072.000,0
255,4088.000,0
