bin_index,bin_center,count
0,0.500,99839
1,1.500,0
2,2.500,99839
3,3.500,99839
4,4.500,99839
5,5.500,0
6,6.500,99839
7,7.500,99839
8,8.500,0
9,9.500,99839
10,10.500,99839
11,11.500,99839
12,12.500,99839
13,13.500,99839
14,14.500,0
15,15.500,0
16,16.500,99839
17,17.500,0
18,18.500,99839
19,19.500,99839
20,20.500,99839
21,21.500,99839
22,22.500,0
23,23.500,99839
24,24.500,99839
25,25.500,0
26,26.500,99839
27,27.500,0
28,28.500,0
29,29.500,99839
30,30.500,99839
31,31.500,99839
32,32.500,99839
33,33.500,0
34,34.500,99839
35,35.500,99839
36,36.500,99839
37,37.500,0
38,38.500,99839
39,39.500,99839
40,40.500,0
41,41.500,99839
42,42.500,99839
43,43.500,99839
44,44.500,99839
45,45.500,99839
46,46.500,0
47,47.500,0
48,48.500,99839
49,49.500,0
50,50.500,99839
51,51.500,99839
52,52.500,99839
53,53.500,99839
54,54.500,0
55,55.500,99839
56,56.500,99839
57,57.500,0
58,58.500,99839
59,59.500,0
60,60.500,0
61,61.500,99839
62,62.500,99839
63,63.500,99839
64,64.500,99839
65,65.500,0
66,66.500,99839
67,67.500,99839
68,68.500,99839
69,69.500,0
70,70.500,99839
71,71.500,99839
72,72.500,0
73,73.500,99839
74,74.500,99839
75,75.500,99839
76,76.500,99839
77,77.500,99839
78,78.500,0
79,79.500,0
80,80.500,99839
81,81.500,0
82,82.500,99839
83,83.500,99839
84,84.500,99839
85,85.500,99839
86,86.500,0
87,87.500,99839
88,88.500,99839
89,89.500,0
90,90.500,99839
91,91.500,0
92,92.500,0
93,93.500,99839
94,94.500,99839
95,95.500,99839
96,96.500,99839
97,97.500,0
98,98.500,99839
99,99.500,99839
100,100.500,99839
101,101.500,0
102,102.500,99839
103,103.500,99839
104,104.500,0
105,105.500,99839
106,106.500,99839
107,107.500,99839
108,108.500,99839
109,109.500,99839
110,110.500,0
111,111.500,0
112,112.500,99839
113,113.500,0
114,114.500,99839
115,115.500,99839
116,116.500,99839
117,117.500,99839
118,118.500,0
119,119.500,99839
120,120.500,99839
121,121.500,0
122,122.500,99839
123,123.500,0
124,124.500,0
125,125.500,99839
126,126.500,99839
127,127.500,99839
128,128.500,99839
129,129.500,0
130,130.500,99839
131,131.500,99839
132,132.500,99839
133,133.500,0
134,134.500,99839
135,135.500,99839
136,136.500,0
137,137.500,99839
138,138.500,99839
139,139.500,99839
140,140.500,99839
141,141.500,99839
142,142.500,0
143,143.500,0
144,144.500,99839
145,145.500,0
146,146.500,99839
147,147.500,99839
148,148.500,99839
149,149.500,99839
150,150.500,0
151,151.500,99839
152,152.500,99839
153,153.500,0
154,154.500,99839
155,155.500,0
156,156.500,0
157,157.500,99839
158,158.500,99839
159,159.500,99839
160,160.500,99839
161,161.500,0
162,162.500,99839
163,163.500,99839
164,164.500,99839
165,165.500,0
166,166.500,99839
167,167.500,99839
168,168.500,0
169,169.500,99839
170,170.500,99839
171,171.500,99839
172,172.500,99839
173,173.500,99839
174,174.500,0
175,175.500,0
176,176.500,99839
177,177.500,0
178,178.500,99839
179,179.500,99839
180,180.500,99839
181,181.500,99839
182,182.500,0
183,183.500,99839
184,184.500,99839
185,185.500,0
186,186.500,99839
187,187.500,0
188,188.500,0
189,189.500,99839
190,190.500,99839
191,191.500,99839
192,192.500,99839
193,193.500,0
194,194.500,99839
195,195.500,99839
196,196.500,99839
197,197.500,0
198,198.500,99839
199,199.500,99839
200,200.500,0
201,201.500,99839
202,202.500,99839
203,203.500,99839
204,204.500,99839
205,205.500,99839
206,206.500,0
207,207.500,0
208,208.500,99839
209,209.500,0
210,210.500,99839
211,211.500,99839
212,212.500,99839
213,213.500,99839
214,214.500,0
215,215.500,99839
216,216.500,99839
217,217.500,0
218,218.500,99839
219,219.500,0
220,220.500,0
221,221.500,99839
222,222.500,99839
223,223.500,99839
224,224.500,99839
225,225.500,0
226,226.500,99839
227,227.500,99839
228,228.500,99839
229,229.500,0
230,230.500,99839
231,231.500,99839
232,232.500,0
233,233.500,99839
234,234.500,99839
235,235.500,99839
236,236.500,99839
237,237.500,99839
238,238.500,0
239,239.500,0
240,240.500,99839
241,241.500,0
242,242.500,99839
243,243.500,99839
244,244.500,99839
245,245.500,99839
246,246.500,0
247,247.500,99839
248,248.500,99839
249,249.500,0
250,250.500,99839
251,251.500,0
252,252.500,0
253,253.500,99839
254,254.500,99839
255,255.500,99839
