kind	case	mask	expected_on	observed_nonzero	observed_ge_50k	unexpected_on	missing_on	weak_expected_lt_50k	max_off_count	min_on_count	max_on_count	pass_exact_nonzero	pass_50k_gate	csv
asic_lvds	01	lvds_mask=0x28 lanes=[3, 5]	64	64	64				0	99841	99841	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case01_ph05.csv
asic_lvds	02	lvds_mask=0xeb lanes=[0, 1, 3, 5, 6, 7]	192	192	192				0	85270	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case02_ph05.csv
asic_lvds	03	lvds_mask=0x09 lanes=[0, 3]	64	64	64				0	99839	99839	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case03_ph05.csv
asic_lvds	04	lvds_mask=0x9d lanes=[0, 2, 3, 4, 7]	160	160	160				0	87200	99841	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case04_ph05.csv
asic_lvds	05	lvds_mask=0x01 lanes=[0]	32	32	32				0	99839	99839	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case05_ph05.csv
asic_lvds	06	lvds_mask=0x73 lanes=[0, 1, 4, 5, 6]	160	160	160				0	99839	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case06_ph05.csv
asic_lvds	07	lvds_mask=0xff lanes=[0, 1, 2, 3, 4, 5, 6, 7]	256	256	256				0	71284	99841	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case07_ph05.csv
asic_lvds	08	lvds_mask=0x20 lanes=[5]	32	32	32				0	99840	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_asic_lvds_seed20260501_case08_ph05.csv
channel_mask	01	channel_mask=0xe5bd3edd enabled=[0, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 16, 18, 19, 20, 21, 23, 24, 26, 29, 30, 31]	176	176	176				0	99839	99839	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case01_ph05.csv
channel_mask	02	channel_mask=0x36ca3e18 enabled=[3, 4, 9, 10, 11, 12, 13, 17, 19, 22, 23, 25, 26, 28, 29]	120	120	120				0	99840	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case02_ph05.csv
channel_mask	03	channel_mask=0xa66dbe1d enabled=[0, 2, 3, 4, 9, 10, 11, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 29, 31]	152	152	152				0	99840	99841	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case03_ph05.csv
channel_mask	04	channel_mask=0x84c14706 enabled=[1, 2, 8, 9, 10, 14, 16, 22, 23, 26, 31]	88	88	88				0	99840	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case04_ph05.csv
channel_mask	05	channel_mask=0xb561ebcf enabled=[0, 1, 2, 3, 6, 7, 8, 9, 11, 13, 14, 15, 16, 21, 22, 24, 26, 28, 29, 31]	160	160	160				0	99840	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case05_ph05.csv
channel_mask	06	channel_mask=0x96882791 enabled=[0, 4, 7, 8, 9, 10, 13, 19, 23, 25, 26, 28, 31]	104	104	104				0	99840	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case06_ph05.csv
channel_mask	07	channel_mask=0xd888dab2 enabled=[1, 4, 5, 7, 9, 11, 12, 14, 15, 19, 23, 27, 28, 30, 31]	120	120	120				0	99841	99841	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case07_ph05.csv
channel_mask	08	channel_mask=0xd7e6cfe0 enabled=[5, 6, 7, 8, 9, 10, 11, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 28, 30, 31]	160	160	160				0	99840	99840	1	1	firmware_builds/systems/system_20260427_testplanphase5/reports/phase6_mask_response_channel_seed20260501_case08_ph05.csv
