bin_index,bin_center,count
0,0.500,99839
1,1.500,99839
2,2.500,99839
3,3.500,99839
4,4.500,99839
5,5.500,99839
6,6.500,99839
7,7.500,99839
8,8.500,99839
9,9.500,99839
10,10.500,99839
11,11.500,99839
12,12.500,99839
13,13.500,99839
14,14.500,99839
15,15.500,99839
16,16.500,99839
17,17.500,99839
18,18.500,99839
19,19.500,99839
20,20.500,99839
21,21.500,99839
22,22.500,99839
23,23.500,99839
24,24.500,99839
25,25.500,99839
26,26.500,99839
27,27.500,99839
28,28.500,99839
29,29.500,99839
30,30.500,99839
31,31.500,99839
32,32.500,99839
33,33.500,99839
34,34.500,99839
35,35.500,99839
36,36.500,99839
37,37.500,99839
38,38.500,99839
39,39.500,99839
40,40.500,99839
41,41.500,99839
42,42.500,99839
43,43.500,99839
44,44.500,99839
45,45.500,99839
46,46.500,99839
47,47.500,99837
48,48.500,99839
49,49.500,99839
50,50.500,99839
51,51.500,99839
52,52.500,99839
53,53.500,99839
54,54.500,99839
55,55.500,99839
56,56.500,99839
57,57.500,99839
58,58.500,99839
59,59.500,99839
60,60.500,99839
61,61.500,99839
62,62.500,99839
63,63.500,99839
64,64.500,99839
65,65.500,99839
66,66.500,99839
67,67.500,99839
68,68.500,99839
69,69.500,99839
70,70.500,99839
71,71.500,99839
72,72.500,99839
73,73.500,99839
74,74.500,99839
75,75.500,99839
76,76.500,99839
77,77.500,99839
78,78.500,99839
79,79.500,99839
80,80.500,99839
81,81.500,99839
82,82.500,99839
83,83.500,99839
84,84.500,99839
85,85.500,99839
86,86.500,99839
87,87.500,99839
88,88.500,99839
89,89.500,99839
90,90.500,99839
91,91.500,99839
92,92.500,99839
93,93.500,99839
94,94.500,99839
95,95.500,99839
96,96.500,199678
97,97.500,199678
98,98.500,199678
99,99.500,199678
100,100.500,199678
101,101.500,199678
102,102.500,199678
103,103.500,199678
104,104.500,199678
105,105.500,199678
106,106.500,199678
107,107.500,199678
108,108.500,199678
109,109.500,199678
110,110.500,199678
111,111.500,199678
112,112.500,199678
113,113.500,199678
114,114.500,199678
115,115.500,199678
116,116.500,199678
117,117.500,199678
118,118.500,199678
119,119.500,199678
120,120.500,199678
121,121.500,199678
122,122.500,199678
123,123.500,199678
124,124.500,199678
125,125.500,199678
126,126.500,199678
127,127.500,199678
128,128.500,99839
129,129.500,99839
130,130.500,99839
131,131.500,99839
132,132.500,99839
133,133.500,99839
134,134.500,99839
135,135.500,99839
136,136.500,99839
137,137.500,99839
138,138.500,99839
139,139.500,99839
140,140.500,99839
141,141.500,99839
142,142.500,99839
143,143.500,99839
144,144.500,99839
145,145.500,99839
146,146.500,99839
147,147.500,99839
148,148.500,99839
149,149.500,99839
150,150.500,99839
151,151.500,99839
152,152.500,99839
153,153.500,99839
154,154.500,99839
155,155.500,99839
156,156.500,99839
157,157.500,99839
158,158.500,99839
159,159.500,99839
160,160.500,99839
161,161.500,99839
162,162.500,99839
163,163.500,99839
164,164.500,99839
165,165.500,99839
166,166.500,99839
167,167.500,99839
168,168.500,99839
169,169.500,99839
170,170.500,99839
171,171.500,99839
172,172.500,99839
173,173.500,99839
174,174.500,99839
175,175.500,99839
176,176.500,99839
177,177.500,99839
178,178.500,99839
179,179.500,99839
180,180.500,99839
181,181.500,99839
182,182.500,99839
183,183.500,99839
184,184.500,99839
185,185.500,99839
186,186.500,99839
187,187.500,99839
188,188.500,99839
189,189.500,99839
190,190.500,99839
191,191.500,99839
192,192.500,99839
193,193.500,99839
194,194.500,99839
195,195.500,99839
196,196.500,99839
197,197.500,99839
198,198.500,99839
199,199.500,99839
200,200.500,99839
201,201.500,99839
202,202.500,99839
203,203.500,99839
204,204.500,99839
205,205.500,99839
206,206.500,99839
207,207.500,99839
208,208.500,99839
209,209.500,99839
210,210.500,99839
211,211.500,99839
212,212.500,99839
213,213.500,99839
214,214.500,99839
215,215.500,99839
216,216.500,99839
217,217.500,99839
218,218.500,99839
219,219.500,99839
220,220.500,99839
221,221.500,99839
222,222.500,99839
223,223.500,99839
224,224.500,199678
225,225.500,199678
226,226.500,199678
227,227.500,199678
228,228.500,199678
229,229.500,199678
230,230.500,199678
231,231.500,199678
232,232.500,199678
233,233.500,199678
234,234.500,199678
235,235.500,199660
236,236.500,199678
237,237.500,199678
238,238.500,199678
239,239.500,199678
240,240.500,199678
241,241.500,199678
242,242.500,199678
243,243.500,199587
244,244.500,199678
245,245.500,199678
246,246.500,199678
247,247.500,199678
248,248.500,199678
249,249.500,199678
250,250.500,199678
251,251.500,199678
252,252.500,199678
253,253.500,199678
254,254.500,199678
255,255.500,199678
