bin_idx,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,2
11,4
12,6
13,10
14,17
15,26
16,40
17,60
18,86
19,120
20,165
21,220
22,286
23,363
24,449
25,541
26,637
27,731
28,818
29,893
30,951
31,987
32,1000
33,987
34,951
35,893
36,818
37,731
38,637
39,541
40,449
41,363
42,286
43,220
44,165
45,120
46,86
47,60
48,40
49,26
50,17
51,10
52,6
53,4
54,2
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,3
143,6
144,11
145,18
146,30
147,47
148,72
149,106
150,151
151,207
152,275
153,353
154,439
155,527
156,612
157,688
158,748
159,786
160,800
161,786
162,748
163,688
164,612
165,527
166,439
167,353
168,275
169,207
170,151
171,106
172,72
173,47
174,30
175,18
176,11
177,6
178,3
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
