scope,lane,counter,value
summary,,debug_level,2
summary,,ft_drop_hdr,0
summary,,ft_drop_hit,0
summary,,ft_drop_shd,0
summary,,ft_rd_hdr,61
summary,,ft_rd_hit,35328
summary,,ft_rd_shd,1104
summary,,ft_wr_hdr,62
summary,,ft_wr_hit,35328
summary,,ft_wr_shd,1104
summary,,handle_fifo_depth,64
summary,,lane_fifo_depth,65536
summary,,n_hit,2047
summary,,n_lane,4
summary,,n_shd,128
summary,,page_ram_depth,65536
summary,,ticket_fifo_depth,65536
lane,0,credit_lane_drop_hit,0
lane,0,credit_lane_drop_shd,0
lane,0,credit_other_drop_hit,0
lane,0,credit_other_drop_shd,0
lane,0,credit_ticket_drop_hit,0
lane,0,credit_ticket_drop_shd,0
lane,0,drop_hdr,0
lane,0,drop_hit,0
lane,0,drop_shd,0
lane,0,drr_beat,18540
lane,0,drr_defer,583
lane,0,drr_grant,1267
lane,0,handle_drop_hit,0
lane,0,handle_drop_shd,0
lane,0,lane_credit_visible,65534
lane,0,mask_drop_hit,0
lane,0,mask_drop_shd,0
lane,0,rd_hdr,66
lane,0,rd_hit,17664
lane,0,rd_shd,8448
lane,0,ticket_credit_visible,64891
lane,0,wr_hdr,66
lane,0,wr_hit,17664
lane,0,wr_shd,8448
lane,1,credit_lane_drop_hit,0
lane,1,credit_lane_drop_shd,0
lane,1,credit_other_drop_hit,0
lane,1,credit_other_drop_shd,0
lane,1,credit_ticket_drop_hit,0
lane,1,credit_ticket_drop_shd,0
lane,1,drop_hdr,0
lane,1,drop_hit,0
lane,1,drop_shd,0
lane,1,drr_beat,19886
lane,1,drr_defer,997
lane,1,drr_grant,1939
lane,1,handle_drop_hit,0
lane,1,handle_drop_shd,0
lane,1,lane_credit_visible,65534
lane,1,mask_drop_hit,0
lane,1,mask_drop_shd,0
lane,1,rd_hdr,66
lane,1,rd_hit,17664
lane,1,rd_shd,8448
lane,1,ticket_credit_visible,64891
lane,1,wr_hdr,66
lane,1,wr_hit,17664
lane,1,wr_shd,8448
lane,2,credit_lane_drop_hit,0
lane,2,credit_lane_drop_shd,0
lane,2,credit_other_drop_hit,0
lane,2,credit_other_drop_shd,0
lane,2,credit_ticket_drop_hit,0
lane,2,credit_ticket_drop_shd,0
lane,2,drop_hdr,0
lane,2,drop_hit,0
lane,2,drop_shd,0
lane,2,drr_beat,0
lane,2,drr_defer,0
lane,2,drr_grant,0
lane,2,handle_drop_hit,0
lane,2,handle_drop_shd,0
lane,2,lane_credit_visible,65534
lane,2,mask_drop_hit,0
lane,2,mask_drop_shd,0
lane,2,rd_hdr,0
lane,2,rd_hit,0
lane,2,rd_shd,0
lane,2,ticket_credit_visible,65535
lane,2,wr_hdr,0
lane,2,wr_hit,0
lane,2,wr_shd,0
lane,3,credit_lane_drop_hit,0
lane,3,credit_lane_drop_shd,0
lane,3,credit_other_drop_hit,0
lane,3,credit_other_drop_shd,0
lane,3,credit_ticket_drop_hit,0
lane,3,credit_ticket_drop_shd,0
lane,3,drop_hdr,0
lane,3,drop_hit,0
lane,3,drop_shd,0
lane,3,drr_beat,0
lane,3,drr_defer,0
lane,3,drr_grant,0
lane,3,handle_drop_hit,0
lane,3,handle_drop_shd,0
lane,3,lane_credit_visible,65534
lane,3,mask_drop_hit,0
lane,3,mask_drop_shd,0
lane,3,rd_hdr,0
lane,3,rd_hit,0
lane,3,rd_shd,0
lane,3,ticket_credit_visible,65535
lane,3,wr_hdr,0
lane,3,wr_hit,0
lane,3,wr_shd,0
