time_ps,tap,valid,ready,sop,eop,k_word,frame_header,subheader,frame_trailer,payload_region,tb_feb_valid,sidecar_valid,sidecar_hex,data_hex,decoded_asic,decoded_channel,decoded_t_fine
2050390400,0,1,1,1,0,1,1,0,0,0,0,0,0x0000000000000000,0x1e00002bc,0,0,1
2050390400,1,1,1,1,0,1,1,0,0,0,0,0,0x0000000000000000,0x1e00002bc,0,0,1
2050396800,0,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x000000000,0,0,0
2050396800,1,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x000000000,0,0,0
2050403200,0,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x000000000,0,0,0
2050403200,1,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x000000000,0,0,0
2050409600,0,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x001010060,4,0,0
2050409600,1,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x001010000,4,0,0
2050416000,0,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x000000800,0,0,4
2050416000,1,1,1,0,0,0,0,0,0,0,0,0,0x0000000000000000,0x000000800,0,0,4
2050422400,0,1,1,0,0,1,0,1,0,0,0,0,0x0000000000000000,0x1000000f7,0,0,0
2050422400,1,1,1,0,0,1,0,1,0,0,0,0,0x0000000000000000,0x1000000f7,0,0,0
2050428800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1000000f7,0,0,0
2050428800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1000000f7,0,0,0
2050435200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1010000f7,4,0,0
2050435200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1010000f7,4,0,0
2050441600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1020000f7,8,0,0
2050441600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1020000f7,8,0,0
2050448000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1030000f7,12,0,0
2050448000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1030000f7,12,0,0
2050454400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1040000f7,0,0,0
2050454400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1040000f7,0,0,0
