time_ps,bank,debug_valid,debug_delay_cycles,hit1_valid,hit1_ready,hit1_empty,hit1_error,hit_ts8n,hit_key,asic,channel,t_fine,metadata_valid,metadata_hex
2015820000,0,1,577,1,1,0,0,1260,78,X,0,0,1,0x0001ef681X000000
2015844000,0,1,580,1,1,0,0,1260,78,X,1,0,1,0x0001ef6b1X000001
2015876000,0,1,584,1,1,0,0,1260,78,X,2,0,1,0x0001ef6f1X000002
2015900000,0,1,587,1,1,0,0,1260,78,X,3,0,1,0x0001ef721X000003
2015932000,0,1,591,1,1,0,0,1260,78,X,4,0,1,0x0001ef761X000004
2015956000,0,1,594,1,1,0,0,1260,78,X,5,0,1,0x0001ef791X000005
2015988000,0,1,598,1,1,0,0,1260,78,X,6,0,1,0x0001ef7d1X000006
2016012000,0,1,601,1,1,0,0,1260,78,X,7,0,1,0x0001ef801X000007
2016044000,0,1,605,1,1,0,0,1260,78,X,8,0,1,0x0001ef841X000008
2016068000,0,1,608,1,1,0,0,1260,78,X,9,0,1,0x0001ef871X000009
2016100000,0,1,612,1,1,0,0,1260,78,X,10,0,1,0x0001ef8b1X00000a
2016124000,0,1,615,1,1,0,0,1260,78,X,11,0,1,0x0001ef8e1X00000b
2016156000,0,1,619,1,1,0,0,1260,78,X,12,0,1,0x0001ef921X00000c
2016180000,0,1,622,1,1,0,0,1260,78,X,13,0,1,0x0001ef951X00000d
2016212000,0,1,626,1,1,0,0,1260,78,X,14,0,1,0x0001ef991X00000e
2016236000,0,1,629,1,1,0,0,1260,78,X,15,0,1,0x0001ef9c1X00000f
2016268000,0,1,633,1,1,0,0,1260,78,X,16,0,1,0x0001efa01X000010
2016292000,0,1,636,1,1,0,0,1260,78,X,17,0,1,0x0001efa31X000011
2016324000,0,1,640,1,1,0,0,1260,78,X,18,0,1,0x0001efa71X000012
2016348000,0,1,643,1,1,0,0,1260,78,X,19,0,1,0x0001efaa1X000013
2016380000,0,1,647,1,1,0,0,1260,78,X,20,0,1,0x0001efae1X000014
2016404000,0,1,650,1,1,0,0,1260,78,X,21,0,1,0x0001efb11X000015
2016436000,0,1,654,1,1,0,0,1260,78,X,22,0,1,0x0001efb51X000016
2016460000,0,1,657,1,1,0,0,1260,78,X,23,0,1,0x0001efb81X000017
2016492000,0,1,661,1,1,0,0,1260,78,X,24,0,1,0x0001efbc1X000018
2016516000,0,1,664,1,1,0,0,1260,78,X,25,0,1,0x0001efbf1X000019
2016548000,0,1,668,1,1,0,0,1260,78,X,26,0,1,0x0001efc31X00001a
2016572000,0,1,671,1,1,0,0,1260,78,X,27,0,1,0x0001efc61X00001b
2016604000,0,1,675,1,1,0,0,1260,78,X,28,0,1,0x0001efca1X00001c
2016628000,0,1,678,1,1,0,0,1260,78,X,29,0,1,0x0001efcd1X00001d
2016660000,0,1,682,1,1,0,0,1260,78,X,30,0,1,0x0001efd11X00001e
