hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,run_origin
544705200783360,0,0,0,20790,544705200783360,2015684000,2015820000,1
544718085685249,0,1,0,20790,544718085685249,2015708000,2015844000,1
544735265554434,0,2,0,20790,544735265554434,2015740000,2015876000,1
544748150456323,0,3,0,20790,544748150456323,2015764000,2015900000,1
544765330325508,0,4,0,20790,544765330325508,2015796000,2015932000,1
544778215227397,0,5,0,20790,544778215227397,2015820000,2015956000,1
544795395096582,0,6,0,20790,544795395096582,2015852000,2015988000,1
544808279998471,0,7,0,20790,544808279998471,2015876000,2016012000,1
544825459867656,0,8,0,20790,544825459867656,2015908000,2016044000,1
544838344769545,0,9,0,20790,544838344769545,2015932000,2016068000,1
544855524638730,0,10,0,20790,544855524638730,2015964000,2016100000,1
544868409540619,0,11,0,20790,544868409540619,2015988000,2016124000,1
544885589409804,0,12,0,20790,544885589409804,2016020000,2016156000,1
544898474311693,0,13,0,20790,544898474311693,2016044000,2016180000,1
544915654180878,0,14,0,20790,544915654180878,2016076000,2016212000,1
544928539082767,0,15,0,20790,544928539082767,2016100000,2016236000,1
544945718951952,0,16,0,20790,544945718951952,2016132000,2016268000,1
544958603853841,0,17,0,20790,544958603853841,2016156000,2016292000,1
544975783723026,0,18,0,20790,544975783723026,2016188000,2016324000,1
544988668624915,0,19,0,20790,544988668624915,2016212000,2016348000,1
545005848494100,0,20,0,20790,545005848494100,2016244000,2016380000,1
545018733395989,0,21,0,20790,545018733395989,2016268000,2016404000,1
545035913265174,0,22,0,20790,545035913265174,2016300000,2016436000,1
545048798167063,0,23,0,20790,545048798167063,2016324000,2016460000,1
545065978036248,0,24,0,20790,545065978036248,2016356000,2016492000,1
545078862938137,0,25,0,20790,545078862938137,2016380000,2016516000,1
545096042807322,0,26,0,20790,545096042807322,2016412000,2016548000,1
545108927709211,0,27,0,20790,545108927709211,2016436000,2016572000,1
545126107578396,0,28,0,20790,545126107578396,2016468000,2016604000,1
545138992480285,0,29,0,20790,545138992480285,2016492000,2016628000,1
545156172349470,0,30,0,20790,545156172349470,2016524000,2016660000,1
545169057251359,0,31,0,20790,545169057251359,2016548000,2016684000,1
548613621022752,0,0,0,21147,548613621022752,2022964000,2023100000,1
548626505924641,0,1,0,21147,548626505924641,2022988000,2023124000,1
548643685793826,0,2,0,21147,548643685793826,2023020000,2023156000,1
548656570695715,0,3,0,21147,548656570695715,2023044000,2023180000,1
548673750564900,0,4,0,21147,548673750564900,2023076000,2023212000,1
548686635466789,0,5,0,21147,548686635466789,2023100000,2023236000,1
548703815335974,0,6,0,21147,548703815335974,2023132000,2023268000,1
548716700237863,0,7,0,21147,548716700237863,2023156000,2023292000,1
548733880107048,0,8,0,21147,548733880107048,2023188000,2023324000,1
548746765008937,0,9,0,21147,548746765008937,2023212000,2023348000,1
548763944878122,0,10,0,21147,548763944878122,2023244000,2023380000,1
548776829780011,0,11,0,21147,548776829780011,2023268000,2023404000,1
548794009649196,0,12,0,21147,548794009649196,2023300000,2023436000,1
548806894551085,0,13,0,21147,548806894551085,2023324000,2023460000,1
548824074420270,0,14,0,21147,548824074420270,2023356000,2023492000,1
548836959322159,0,15,0,21147,548836959322159,2023380000,2023516000,1
548854139191344,0,16,0,21147,548854139191344,2023412000,2023548000,1
548867024093233,0,17,0,21147,548867024093233,2023436000,2023572000,1
548884203962418,0,18,0,21147,548884203962418,2023468000,2023604000,1
