time_ps,copy,split_valid,split_ready,split_empty,split_error,split_accept,lane_match,would_enter_deassembly,deassembly_wrreq,deassembly_full,deassembly_empty,in_payload_valid,push_write_req,push_write_grant,run_state_code,pop_state_code,push_state_code,gts_8n,read_time_ptr,age_mod8192,hit_ts8n,hit_key,expected_copy,asic,channel,t_fine,ts12,hit1_data_hex,metadata_valid,metadata_hex
2015820000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1840,1,580,1260,78,2,X,0,0,0,0xXX09d80000,1,0x0001ef681X000000
2015820000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1840,1,580,1260,78,2,X,0,0,0,0xXX09d80000,1,0x0001ef681X000000
2015820000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1840,1,580,1260,78,2,X,0,0,0,0xXX09d80000,1,0x0001ef681X000000
2015820000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1840,1,580,1260,78,2,X,0,0,0,0xXX09d80000,1,0x0001ef681X000000
2015828000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1841,1,1841,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2015844000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1843,1,583,1260,78,2,X,1,0,0,0xXX49d80000,1,0x0001ef6b1X000001
2015844000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1843,1,583,1260,78,2,X,1,0,0,0xXX49d80000,1,0x0001ef6b1X000001
2015844000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1843,1,583,1260,78,2,X,1,0,0,0xXX49d80000,1,0x0001ef6b1X000001
2015844000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1843,1,583,1260,78,2,X,1,0,0,0xXX49d80000,1,0x0001ef6b1X000001
2015852000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1844,1,1844,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2015876000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1847,1,587,1260,78,2,X,2,0,0,0xXX89d80000,1,0x0001ef6f1X000002
2015876000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1847,1,587,1260,78,2,X,2,0,0,0xXX89d80000,1,0x0001ef6f1X000002
2015876000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1847,1,587,1260,78,2,X,2,0,0,0xXX89d80000,1,0x0001ef6f1X000002
2015876000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1847,1,587,1260,78,2,X,2,0,0,0xXX89d80000,1,0x0001ef6f1X000002
2015884000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1848,1,1848,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2015900000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1850,1,590,1260,78,2,X,3,0,0,0xXXc9d80000,1,0x0001ef721X000003
2015900000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1850,1,590,1260,78,2,X,3,0,0,0xXXc9d80000,1,0x0001ef721X000003
2015900000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1850,1,590,1260,78,2,X,3,0,0,0xXXc9d80000,1,0x0001ef721X000003
2015900000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1850,1,590,1260,78,2,X,3,0,0,0xXXc9d80000,1,0x0001ef721X000003
2015908000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1851,1,1851,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2015932000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1854,1,594,1260,78,2,X,4,0,0,0xXX09d80000,1,0x0001ef761X000004
2015932000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1854,1,594,1260,78,2,X,4,0,0,0xXX09d80000,1,0x0001ef761X000004
2015932000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1854,1,594,1260,78,2,X,4,0,0,0xXX09d80000,1,0x0001ef761X000004
2015932000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1854,1,594,1260,78,2,X,4,0,0,0xXX09d80000,1,0x0001ef761X000004
2015940000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1855,1,1855,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2015956000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1857,1,597,1260,78,2,X,5,0,0,0xXX49d80000,1,0x0001ef791X000005
2015956000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1857,1,597,1260,78,2,X,5,0,0,0xXX49d80000,1,0x0001ef791X000005
2015956000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1857,1,597,1260,78,2,X,5,0,0,0xXX49d80000,1,0x0001ef791X000005
2015956000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1857,1,597,1260,78,2,X,5,0,0,0xXX49d80000,1,0x0001ef791X000005
2015964000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1858,1,1858,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2015988000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1861,1,601,1260,78,2,X,6,0,0,0xXX89d80000,1,0x0001ef7d1X000006
2015988000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1861,1,601,1260,78,2,X,6,0,0,0xXX89d80000,1,0x0001ef7d1X000006
2015988000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1861,1,601,1260,78,2,X,6,0,0,0xXX89d80000,1,0x0001ef7d1X000006
2015988000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1861,1,601,1260,78,2,X,6,0,0,0xXX89d80000,1,0x0001ef7d1X000006
2015996000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1862,1,1862,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016012000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1864,1,604,1260,78,2,X,7,0,0,0xXXc9d80000,1,0x0001ef801X000007
2016012000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1864,1,604,1260,78,2,X,7,0,0,0xXXc9d80000,1,0x0001ef801X000007
2016012000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1864,1,604,1260,78,2,X,7,0,0,0xXXc9d80000,1,0x0001ef801X000007
2016012000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1864,1,604,1260,78,2,X,7,0,0,0xXXc9d80000,1,0x0001ef801X000007
2016020000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1865,1,1865,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016044000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1868,1,608,1260,78,2,X,8,0,0,0xXX09d80000,1,0x0001ef841X000008
2016044000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1868,1,608,1260,78,2,X,8,0,0,0xXX09d80000,1,0x0001ef841X000008
2016044000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1868,1,608,1260,78,2,X,8,0,0,0xXX09d80000,1,0x0001ef841X000008
2016044000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1868,1,608,1260,78,2,X,8,0,0,0xXX09d80000,1,0x0001ef841X000008
2016052000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1869,1,1869,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016068000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1871,1,611,1260,78,2,X,9,0,0,0xXX49d80000,1,0x0001ef871X000009
2016068000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1871,1,611,1260,78,2,X,9,0,0,0xXX49d80000,1,0x0001ef871X000009
2016068000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1871,1,611,1260,78,2,X,9,0,0,0xXX49d80000,1,0x0001ef871X000009
2016068000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1871,1,611,1260,78,2,X,9,0,0,0xXX49d80000,1,0x0001ef871X000009
2016076000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1872,1,1872,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016100000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1875,1,615,1260,78,2,X,10,0,0,0xXX89d80000,1,0x0001ef8b1X00000a
2016100000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1875,1,615,1260,78,2,X,10,0,0,0xXX89d80000,1,0x0001ef8b1X00000a
2016100000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1875,1,615,1260,78,2,X,10,0,0,0xXX89d80000,1,0x0001ef8b1X00000a
2016100000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1875,1,615,1260,78,2,X,10,0,0,0xXX89d80000,1,0x0001ef8b1X00000a
2016108000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1876,1,1876,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016124000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1878,1,618,1260,78,2,X,11,0,0,0xXXc9d80000,1,0x0001ef8e1X00000b
2016124000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1878,1,618,1260,78,2,X,11,0,0,0xXXc9d80000,1,0x0001ef8e1X00000b
2016124000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1878,1,618,1260,78,2,X,11,0,0,0xXXc9d80000,1,0x0001ef8e1X00000b
2016124000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1878,1,618,1260,78,2,X,11,0,0,0xXXc9d80000,1,0x0001ef8e1X00000b
2016132000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1879,1,1879,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016156000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1882,1,622,1260,78,2,X,12,0,0,0xXX09d80000,1,0x0001ef921X00000c
2016156000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1882,1,622,1260,78,2,X,12,0,0,0xXX09d80000,1,0x0001ef921X00000c
2016156000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1882,1,622,1260,78,2,X,12,0,0,0xXX09d80000,1,0x0001ef921X00000c
2016156000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1882,1,622,1260,78,2,X,12,0,0,0xXX09d80000,1,0x0001ef921X00000c
2016164000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1883,1,1883,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016180000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1885,1,625,1260,78,2,X,13,0,0,0xXX49d80000,1,0x0001ef951X00000d
2016180000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1885,1,625,1260,78,2,X,13,0,0,0xXX49d80000,1,0x0001ef951X00000d
2016180000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1885,1,625,1260,78,2,X,13,0,0,0xXX49d80000,1,0x0001ef951X00000d
2016180000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1885,1,625,1260,78,2,X,13,0,0,0xXX49d80000,1,0x0001ef951X00000d
2016188000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1886,1,1886,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016212000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1889,1,629,1260,78,2,X,14,0,0,0xXX89d80000,1,0x0001ef991X00000e
2016212000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1889,1,629,1260,78,2,X,14,0,0,0xXX89d80000,1,0x0001ef991X00000e
2016212000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1889,1,629,1260,78,2,X,14,0,0,0xXX89d80000,1,0x0001ef991X00000e
2016212000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1889,1,629,1260,78,2,X,14,0,0,0xXX89d80000,1,0x0001ef991X00000e
2016220000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1890,1,1890,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016236000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1892,1,632,1260,78,2,X,15,0,0,0xXXc9d80000,1,0x0001ef9c1X00000f
2016236000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1892,1,632,1260,78,2,X,15,0,0,0xXXc9d80000,1,0x0001ef9c1X00000f
2016236000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1892,1,632,1260,78,2,X,15,0,0,0xXXc9d80000,1,0x0001ef9c1X00000f
2016236000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1892,1,632,1260,78,2,X,15,0,0,0xXXc9d80000,1,0x0001ef9c1X00000f
2016244000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1893,1,1893,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016268000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1896,1,636,1260,78,2,X,16,0,0,0xXX09d80000,1,0x0001efa01X000010
2016268000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1896,1,636,1260,78,2,X,16,0,0,0xXX09d80000,1,0x0001efa01X000010
2016268000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1896,1,636,1260,78,2,X,16,0,0,0xXX09d80000,1,0x0001efa01X000010
2016268000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1896,1,636,1260,78,2,X,16,0,0,0xXX09d80000,1,0x0001efa01X000010
2016276000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1897,1,1897,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016292000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1899,1,639,1260,78,2,X,17,0,0,0xXX49d80000,1,0x0001efa31X000011
2016292000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1899,1,639,1260,78,2,X,17,0,0,0xXX49d80000,1,0x0001efa31X000011
2016292000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1899,1,639,1260,78,2,X,17,0,0,0xXX49d80000,1,0x0001efa31X000011
2016292000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1899,1,639,1260,78,2,X,17,0,0,0xXX49d80000,1,0x0001efa31X000011
2016300000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1900,1,1900,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016324000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1903,1,643,1260,78,2,X,18,0,0,0xXX89d80000,1,0x0001efa71X000012
2016324000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1903,1,643,1260,78,2,X,18,0,0,0xXX89d80000,1,0x0001efa71X000012
2016324000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1903,1,643,1260,78,2,X,18,0,0,0xXX89d80000,1,0x0001efa71X000012
2016324000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1903,1,643,1260,78,2,X,18,0,0,0xXX89d80000,1,0x0001efa71X000012
2016332000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1904,1,1904,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016348000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1906,1,646,1260,78,2,X,19,0,0,0xXXc9d80000,1,0x0001efaa1X000013
