row_id,slice,injector,rate,lane_mask,channel_mask,theoretical,emul_mutrig,mfd_frame,arb_sel,arb_drop,rbcam_push,rbcam_pop,feb_asm,swb_ingress,opq_egress,rdma_hits,hist_csr13,hist_csr17,first_loss_ip,loss_counter,corun_missing_hits,trace_fail_hits,sim_returncode,rate_condition,rdma_condition
RN.BASIC.002,1,periodic,0x0080,0xFF,0xFFFFFFFF,62500,62528,62528,62528,0,62528,62528,62528,62528,52160,52160,62528,62528,opq_egress,52160,10368,10368,2,FAIL,FAIL
RN.BASIC.003,1,periodic,0x00C0,0xFF,0xFFFFFFFF,93750,93856,93856,93856,0,93856,93856,93856,93856,63392,63392,93856,93856,opq_egress,63392,30464,30464,2,FAIL,FAIL
RN.BASIC.004,1,periodic,0x0100,0xFF,0xFFFFFFFF,125000,125024,125024,125024,0,125024,125024,125024,125024,81088,81088,125024,125024,opq_egress,81088,43936,43936,2,FAIL,FAIL
RN.BASIC.006,1,periodic,0x0080,0xFF,0x0000FFFF,31250,31264,31264,31264,0,31264,31264,31264,31264,26080,26080,31264,31264,opq_egress,26080,10368,10368,2,FAIL,FAIL
RN.BASIC.007,1,periodic,0x00C0,0xFF,0x0000FFFF,46875,46928,46928,46928,0,46928,46928,46928,46928,31696,31696,46928,46928,opq_egress,31696,30464,30464,2,FAIL,FAIL
RN.BASIC.008,1,periodic,0x0100,0xFF,0x0000FFFF,62500,62512,62512,62512,0,62512,62512,62512,62512,40544,40544,62512,62512,opq_egress,40544,43936,43936,2,FAIL,FAIL
RN.BASIC.010,1,periodic,0x0080,0xFF,0x55555555,31250,31264,31264,31264,0,31264,31264,31264,31264,26080,26080,31264,31264,opq_egress,26080,10368,10368,2,FAIL,FAIL
RN.BASIC.011,1,periodic,0x00C0,0xFF,0x55555555,46875,46928,46928,46928,0,46928,46928,46928,46928,31696,31696,46928,46928,opq_egress,31696,30464,30464,2,FAIL,FAIL
RN.BASIC.012,1,periodic,0x0100,0xFF,0x55555555,62500,62512,62512,62512,0,62512,62512,62512,62512,40544,40544,62512,62512,opq_egress,40544,43936,43936,2,FAIL,FAIL
RN.BASIC.014,1,periodic,0x0080,0xFF,0x00000001,1953,1954,1954,1954,0,1954,1954,1954,1954,1630,1630,1954,1954,opq_egress,1630,10368,10368,2,FAIL,FAIL
RN.BASIC.015,1,periodic,0x00C0,0xFF,0x00000001,2930,2933,2933,2933,0,2933,2933,2933,2933,1981,1981,2933,2933,opq_egress,1981,30464,30464,2,FAIL,FAIL
RN.BASIC.016,1,periodic,0x0100,0xFF,0x00000001,3906,3907,3907,3907,0,3907,3907,3907,3907,2534,2534,3907,3907,opq_egress,2534,43936,43936,2,FAIL,FAIL
RN.BASIC.018,1,periodic,0x0080,0x55,0xFFFFFFFF,31250,31264,31264,31264,0,31264,31264,31264,31264,26112,26112,31264,31264,opq_egress,26112,10368,10368,2,FAIL,FAIL
RN.BASIC.019,1,periodic,0x00C0,0x55,0xFFFFFFFF,46875,46944,46944,46944,0,46944,46944,46944,46944,31904,31904,46944,46944,opq_egress,31904,30464,30464,2,FAIL,FAIL
RN.BASIC.020,1,periodic,0x0100,0x55,0xFFFFFFFF,62500,62528,62528,62528,0,62528,62528,62528,62528,40992,40992,62528,62528,opq_egress,40992,43936,43936,2,FAIL,FAIL
RN.BASIC.022,1,periodic,0x0080,0x55,0x0000FFFF,15625,15632,15632,15632,0,15632,15632,15632,15632,13056,13056,15632,15632,opq_egress,13056,10368,10368,2,FAIL,FAIL
RN.BASIC.023,1,periodic,0x00C0,0x55,0x0000FFFF,23438,23472,23472,23472,0,23472,23472,23472,23472,15952,15952,23472,23472,opq_egress,15952,30464,30464,2,FAIL,FAIL
RN.BASIC.024,1,periodic,0x0100,0x55,0x0000FFFF,31250,31264,31264,31264,0,31264,31264,31264,31264,20496,20496,31264,31264,opq_egress,20496,43936,43936,2,FAIL,FAIL
RN.BASIC.026,1,periodic,0x0080,0x55,0x55555555,15625,15632,15632,15632,0,15632,15632,15632,15632,13056,13056,15632,15632,opq_egress,13056,10368,10368,2,FAIL,FAIL
RN.BASIC.027,1,periodic,0x00C0,0x55,0x55555555,23438,23472,23472,23472,0,23472,23472,23472,23472,15952,15952,23472,23472,opq_egress,15952,30464,30464,2,FAIL,FAIL
RN.BASIC.028,1,periodic,0x0100,0x55,0x55555555,31250,31264,31264,31264,0,31264,31264,31264,31264,20496,20496,31264,31264,opq_egress,20496,43936,43936,2,FAIL,FAIL
RN.BASIC.030,1,periodic,0x0080,0x55,0x00000001,977,977,977,977,0,977,977,977,977,816,816,977,977,opq_egress,816,10368,10368,2,FAIL,FAIL
RN.BASIC.031,1,periodic,0x00C0,0x55,0x00000001,1465,1467,1467,1467,0,1467,1467,1467,1467,997,997,1467,1467,opq_egress,997,30464,30464,2,FAIL,FAIL
RN.BASIC.032,1,periodic,0x0100,0x55,0x00000001,1953,1954,1954,1954,0,1954,1954,1954,1954,1281,1281,1954,1954,opq_egress,1281,43936,43936,2,FAIL,FAIL
RN.BASIC.034,1,periodic,0x0080,0xAA,0xFFFFFFFF,31250,31264,31264,31264,0,31264,31264,31264,31264,26048,26048,31264,31264,opq_egress,26048,10368,10368,2,FAIL,FAIL
RN.BASIC.035,1,periodic,0x00C0,0xAA,0xFFFFFFFF,46875,46912,46912,46912,0,46912,46912,46912,46912,31488,31488,46912,46912,opq_egress,31488,30464,30464,2,FAIL,FAIL
RN.BASIC.036,1,periodic,0x0100,0xAA,0xFFFFFFFF,62500,62496,62496,62496,0,62496,62496,62496,62496,40096,40096,62496,62496,opq_egress,40096,43936,43936,2,FAIL,FAIL
RN.BASIC.038,1,periodic,0x0080,0xAA,0x0000FFFF,15625,15632,15632,15632,0,15632,15632,15632,15632,13024,13024,15632,15632,opq_egress,13024,10368,10368,2,FAIL,FAIL
