tunnel,hit_id,channel,frame_id,latency_cycles,range_low_cycles,range_high_cycles,status
source_to_pre_rbcam,0,0,0,0.000,0.000,0.000,PASS
pre_to_post_rbcam,0,0,0,0.000,0.000,0.000,PASS
post_rbcam_to_feb_egress,0,0,0,4110.500,2049.000,6143.000,PASS
feb_egress_to_opq_ingress,0,0,0,1.250,0.000,16.000,PASS
opq_ingress_to_opq_egress,0,0,0,2719.500,0.000,92468.500,PASS
opq_egress_to_dma,0,0,0,5.000,0.000,512.000,PASS
source_to_pre_rbcam,1,1,0,0.000,0.000,0.000,PASS
pre_to_post_rbcam,1,1,0,0.000,0.000,0.000,PASS
post_rbcam_to_feb_egress,1,1,0,4112.500,2049.000,6143.000,PASS
feb_egress_to_opq_ingress,1,1,0,1.250,0.000,16.000,PASS
opq_ingress_to_opq_egress,1,1,0,2718.000,0.000,92468.500,PASS
opq_egress_to_dma,1,1,0,4.500,0.000,512.000,PASS
source_to_pre_rbcam,2,2,0,0.000,0.000,0.000,PASS
pre_to_post_rbcam,2,2,0,0.000,0.000,0.000,PASS
post_rbcam_to_feb_egress,2,2,0,4114.500,2049.000,6143.000,PASS
feb_egress_to_opq_ingress,2,2,0,1.250,0.000,16.000,PASS
opq_ingress_to_opq_egress,2,2,0,2716.500,0.000,92468.500,PASS
opq_egress_to_dma,2,2,0,4.000,0.000,512.000,PASS
source_to_pre_rbcam,3,3,0,0.000,0.000,0.000,PASS
pre_to_post_rbcam,3,3,0,0.000,0.000,0.000,PASS
post_rbcam_to_feb_egress,3,3,0,4116.500,2049.000,6143.000,PASS
feb_egress_to_opq_ingress,3,3,0,1.250,0.000,16.000,PASS
opq_ingress_to_opq_egress,3,3,0,2715.000,0.000,92468.500,PASS
opq_egress_to_dma,3,3,0,3.500,0.000,512.000,PASS
source_to_pre_rbcam,4,4,0,0.000,0.000,0.000,PASS
pre_to_post_rbcam,4,4,0,0.000,0.000,0.000,PASS
post_rbcam_to_feb_egress,4,4,0,4118.500,2049.000,6143.000,PASS
feb_egress_to_opq_ingress,4,4,0,1.250,0.000,16.000,PASS
