row_id,slice,injector_mode,lane_mask,channel_mask,rate_88fp,expected_hits,sim_total,board_total,hist_a_sum,hist_b_sum,rdma_record_count,delay_min_cycles,delay_p05_cycles,delay_p50_cycles,delay_p95_cycles,delay_max_cycles,delay_range_cycles,delay_bound_cycles,rate_status,delay_status,delay_bound_status,rdma_status,tbd
RN.BASIC.001,1,2,0xFF,0xFFFFFFFF,0x0040,31250,31264,,15648,15616,31264,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.002,1,2,0xFF,0xFFFFFFFF,0x0080,62500,62528,,31264,31264,62528,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.003,1,2,0xFF,0xFFFFFFFF,0x00C0,93750,93856,,46944,46912,93856,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.004,1,2,0xFF,0xFFFFFFFF,0x0100,125000,125024,,62528,62496,125024,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.005,1,2,0xFF,0x0000FFFF,0x0040,15625,15632,,7824,7808,15632,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.006,1,2,0xFF,0x0000FFFF,0x0080,31250,31264,,15632,15632,31264,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.007,1,2,0xFF,0x0000FFFF,0x00C0,46875,46928,,23472,23456,46928,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.008,1,2,0xFF,0x0000FFFF,0x0100,62500,62512,,31264,31248,62512,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.009,1,2,0xFF,0x55555555,0x0040,15625,15632,,7824,7808,15632,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.010,1,2,0xFF,0x55555555,0x0080,31250,31264,,15632,15632,31264,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
RN.BASIC.011,1,2,0xFF,0x55555555,0x00C0,46875,46928,,23472,23456,46928,0,0,0,0,0,0,900,PASS,PASS,PASS,PASS,p45 board evidence is not BASIC-compatible
