interval_index,target_elapsed_s,wall_elapsed_s,bank_status,toggle_seen,total_hits,dropped_hits,last_interval_total_hits,last_interval_dropped_hits
0,0.009999990,0.006019592,0x00000000,1,6464,0,9792,0
1,0.019999981,1.858315706,0x00000001,1,6304,0,9728,0
2,0.029999971,3.367130995,0x00000001,1,5472,0,9760,0
3,0.039999962,5.007727385,0x00000000,1,6528,0,9760,0
4,0.049999952,6.917041540,0x00000001,1,9568,0,9760,0
5,0.059999943,8.728996754,0x00000000,1,8160,0,9760,0
6,0.069999933,10.720710754,0x00000000,1,3488,0,9760,0
7,0.079999924,12.399280548,0x00000001,1,4576,0,9760,0
8,0.089999914,14.473798752,0x00000000,1,3968,0,9792,0
9,0.099999905,16.240894794,0x00000001,1,9120,0,9760,0
