interval_index,target_elapsed_s,wall_elapsed_s,bank_status,toggle_seen,total_hits,dropped_hits,last_interval_total_hits,last_interval_dropped_hits
0,0.009999990,0.011172056,0x00000001,1,9984,0,10336,0
1,0.019999981,1.563042879,0x00000000,1,7456,0,10368,0
2,0.029999971,3.592771530,0x00000000,1,2176,0,10368,0
3,0.039999962,5.309022665,0x00000001,1,3264,0,10368,0
4,0.049999952,7.201666355,0x00000000,1,9184,0,10368,0
5,0.059999943,8.792102575,0x00000001,1,1024,0,10400,0
6,0.069999933,10.688499451,0x00000001,1,5728,0,10400,0
7,0.079999924,12.439783573,0x00000000,1,4928,0,10400,0
8,0.089999914,14.396070719,0x00000001,1,10336,0,10368,0
9,0.099999905,17.471061707,0x00000001,0,9504,0,10368,0
